"global_id";"ObjectName";"NameWinter";"PhotoWinter";"AdmArea";"District";"Address";"Email";"WebSite";"HelpPhone";"HelpPhoneExtension";"WorkingHoursWinter";"ClarificationOfWorkingHoursWinter";"HasEquipmentRental";"EquipmentRentalComments";"HasTechService";"TechServiceComments";"HasDressingRoom";"HasEatery";"HasToilet";"HasWifi";"HasCashMachine";"HasFirstAidPost";"HasMusic";"UsagePeriodWinter";"DimensionsWinter";"Lighting";"SurfaceTypeWinter";"Seats";"Paid";"PaidComments";"DisabilityFriendly";"ServicesWinter";"geoData";"geodata_center";"geoarea";
"903943179";"Парк, озелененная городская территория «Выставка достижений народного хозяйства (ВДНХ)»";"ледяная горка, «Тюбинговая горка Север»";"1917de34-0f86-4745-9cd2-0abd6d5ad3da";"Северо-Восточный административный округ";"Останкинский район";"проспект Мира, дом 119, строение 6";"info@vvcentre.ru";"vdnh.ru";"(495) 974-33-66";"";"понедельник 11:00-23:00,вторник 11:00-23:00,среда 11:00-23:00,четверг 11:00-23:00,пятница 11:00-23:00,суббота 10:00-23:00,воскресенье закрыто";"";"нет";"";"да";"";"да";"да";"да";"да";"да";"да";"да";"27.11-31.03";"960 80 12";"смешанное освещение";"искусственный лед";"0";"платно";"";"";"общая физическая подготовка";"{""coordinates"":[37.6403566257345,55.8277205416326],""type"":""Point""}";"";"";
"1074807306";"Дворовая территория";"ледяная горка на дворовой территории";"af5f1052-6859-4123-b7d7-1bd045cb5cc6";"Юго-Западный административный округ";"район Ясенево";"проезд Одоевского, дом 11, корпус 7";"soc.yasenevo@mail.ru";"yasenevo.mos.ru";"(495) 422-02-33";"";"понедельник 08:00-17:00,вторник 08:00-17:00,среда 08:00-17:00,четверг 08:00-17:00,пятница 08:00-17:00,суббота 08:00-17:00,воскресенье 08:00-17:00";"";"нет";"";"нет";"";"нет";"нет";"нет";"нет";"нет";"нет";"нет";"01.12-31.03";"45 15 3";"без дополнительного освещения";"натуральный лед";"0";"бесплатно";"";"";"общая физическая подготовка";"{""coordinates"":[37.5129163191616,55.5988269769274],""type"":""Point""}";"";"";
"1075330285";"Комплекс спортивных сооружений «военная часть №61899»";"ледяная горка";"c4a21267-6819-4eab-89e9-4fe91a02f327";"Новомосковский административный округ";"поселение ""Мосрентген""";"посёлок завода Мосрентген, дом 39";"mosrentgen@mos.ru";"adm-mosrentgen.ru";"(495) 540-59-93";"";"понедельник 08:00-22:00,вторник 08:00-22:00,среда 08:00-22:00,четверг 08:00-22:00,пятница 08:00-22:00,суббота 08:00-22:00,воскресенье закрыто";"";"нет";"";"нет";"";"нет";"нет";"нет";"нет";"нет";"нет";"да";"01.12-31.03";"45 15 3";"без дополнительного освещения";"натуральный лед";"0";"бесплатно";"";"";"общая физическая подготовка";"{""coordinates"":[37.4760399863983,55.6192486199171],""type"":""Point""}";"";"";
"1150269655";"Дворовая территория";"ледяная горка на дворовой территории";"1548e14e-2889-4941-8b24-65881becd322";"Центральный административный округ";"район Хамовники";"2-я Фрунзенская улица, дом 9";"gbu.zhilishnik.hamovniki@gmail.com";"gbu-hamovniki.ru/";"(499) 242-52-04";"";"понедельник 10:00-22:00,вторник 10:00-22:00,среда 10:00-22:00,четверг 10:00-22:00,пятница 10:00-22:00,суббота 10:00-22:00,воскресенье 10:00-22:00";"";"нет";"";"нет";"";"нет";"нет";"нет";"нет";"нет";"нет";"нет";"01.11-31.03";"6 5 1.2";"освещение газоразрядными лампами";"натуральный лед";"0";"бесплатно";"";"";"общая физическая подготовка";"{""coordinates"":[37.579969776713,55.7222031897281],""type"":""Point""}";"";"";
"1266752317";"Дворовая территория";"ледяная горка на дворовой территории";"dc8ed24b-e4fb-4058-bb25-1a04f5c97f1d";"Восточный административный округ";"район Гольяново";"Красноярская улица, дом 1, корпус 1";"info@post.gbugol.ru";"golyanovo.mos.ru/";"(495) 469-82-81";"";"понедельник 07:00-22:00,вторник 07:00-22:00,среда 07:00-22:00,четверг 07:00-22:00,пятница 07:00-22:00,суббота 07:00-22:00,воскресенье 07:00-22:00";"";"нет";"";"нет";"";"нет";"нет";"нет";"нет";"нет";"нет";"нет";"01.12-31.03";"4.5 3 1.5";"без дополнительного освещения";"натуральный лед";"0";"бесплатно";"";"";"общая физическая подготовка";"{""coordinates"":[37.8344235932541,55.8161668728284],""type"":""Point""}";"";"";
"1266752346";"Дворовая территория";"ледяная горка на дворовой территории";"54ff8924-0f76-4869-8743-3b95c7a67719";"Южный административный округ";"район Чертаново Северное";"Кировоградская улица, дом 4, корпус 1";"sonch@mos.ru";"chertanovo-severnoe.mos.ru/";"(495) 315-50-36";"";"понедельник 09:00-22:00,вторник 09:00-22:00,среда 09:00-22:00,четверг 09:00-22:00,пятница 09:00-22:00,суббота 09:00-22:00,воскресенье закрыто";"";"нет";"";"нет";"";"нет";"нет";"нет";"нет";"нет";"нет";"нет";"01.12-28.02";"30 15 2";"без дополнительного освещения";"натуральный лед";"0";"бесплатно";"";"";"общая физическая подготовка";"{""coordinates"":[37.6104176009514,55.6304118908911],""type"":""Point""}";"";"";
"1266752414";"Дворовая территория";"ледяная горка";"8264af62-07ab-47e7-bf82-4f6e8f10eb19";"Юго-Западный административный округ";"Ломоносовский район";"улица Крупской, дом 1";"uzao-lomonos@mos.ru";"lomonosovsky.mos.ru";"(499) 783-84-23";"";"понедельник 09:00-21:00,вторник 09:00-21:00,среда 09:00-21:00,четверг 09:00-21:00,пятница 09:00-21:00,суббота 09:00-21:00,воскресенье 09:00-21:00";"";"нет";"";"нет";"";"да";"да";"да";"нет";"нет";"да";"да";"01.12-31.03";"7.5 5 1.5";"смешанное освещение";"натуральный лед";"0";"бесплатно";"";"";"общая физическая подготовка";"{""coordinates"":[37.5317040579274,55.6793526083367],""type"":""Point""}";"";"";
"1266752417";"Дворовая территория";"ледяная горка";"113db90f-d262-4688-9fbf-221b3526c7ef";"Юго-Восточный административный округ";"район Печатники";"улица Полбина, дом 52";"sd.pechatniki@gmail.com";"pechatniki.mos.ru";"(495) 354-28-08";"";"понедельник 09:00-21:00,вторник 09:00-21:00,среда 09:00-21:00,четверг 09:00-21:00,пятница 09:00-21:00,суббота 09:00-21:00,воскресенье закрыто";"";"нет";"";"нет";"";"нет";"нет";"нет";"нет";"нет";"нет";"нет";"01.12-31.03";"15 10 1.5";"смешанное освещение";"натуральный лед";"0";"бесплатно";"";"";"общая физическая подготовка";"{""coordinates"":[37.7243364482228,55.6764402820011],""type"":""Point""}";"";"";
"1266752473";"Дворовая территория";"ледяная горка на дворовой территории";"cbf197cd-5b83-4047-85fb-65735084e2d3";"Юго-Восточный административный округ";"район Выхино-Жулебино";"улица Авиаконструктора Миля, дом 5, корпус 1";"vh@uvao.mos.ru";"vyhino-zhulebino.mos.ru";"(495) 376-46-86";"";"понедельник 08:00-22:00,вторник 08:00-22:00,среда 08:00-22:00,четверг 08:00-22:00,пятница 08:00-22:00,суббота 08:00-22:00,воскресенье закрыто";"";"нет";"";"нет";"";"нет";"нет";"нет";"нет";"нет";"нет";"нет";"01.12-31.03";"3 3 1";"без дополнительного освещения";"натуральный лед";"0";"бесплатно";"";"";"общая физическая подготовка";"{""coordinates"":[37.8534158121643,55.6865346456291],""type"":""Point""}";"";"";
"1266752482";"Дворовая территория";"ледяная горка";"fcb33036-778f-4f56-9e24-1add622062da";"Юго-Восточный административный округ";"район Выхино-Жулебино";"Привольная улица, дом 39, корпус 1";"vh@uvao.mos.ru";"vyhino-zhulebino.mos.ru/";"(495) 376-46-86";"";"понедельник 08:00-23:00,вторник 08:00-23:00,среда 08:00-23:00,четверг 08:00-23:00,пятница 08:00-23:00,суббота 08:00-23:00,воскресенье закрыто";"";"нет";"";"нет";"";"нет";"нет";"нет";"нет";"нет";"нет";"нет";"01.12-31.03";"60 20 3";"без дополнительного освещения";"натуральный лед";"0";"бесплатно";"";"";"общая физическая подготовка";"{""coordinates"":[37.8493741716194,55.6905670568931],""type"":""Point""}";"";"";
"1266752844";"Дворовая территория";"ледяная горка на дворовой территории";"8588ab19-1830-4e26-ba1b-bde217d46ff3";"Центральный административный округ";"Таганский район";"Новоспасский переулок, дом 3, корпус 1";"ur_tagansky@mos.ru";"tagan.mos.ru";"(495) 911-12-81";"";"понедельник 09:00-22:00,вторник 09:00-22:00,среда 09:00-22:00,четверг 09:00-22:00,пятница 09:00-22:00,суббота 09:00-22:00,воскресенье закрыто";"";"нет";"";"нет";"";"нет";"нет";"нет";"нет";"нет";"нет";"нет";"01.12-31.03";"10 5 2";"смешанное освещение";"натуральный лед";"0";"бесплатно";"";"";"общая физическая подготовка";"{""coordinates"":[37.6556457331982,55.7341044774675],""type"":""Point""}";"";"";
"1266752868";"Дворовая территория";"ледяная горка на дворовой территории";"5f8ac3d5-27f6-40c1-adf9-aac45b60a556";"Центральный административный округ";"Таганский район";"Стройковская улица, дом 2";"ur_tagansky@mos.ru";"tagan.mos.ru";"(495) 911-12-81";"";"понедельник 09:00-22:00,вторник 09:00-22:00,среда 09:00-22:00,четверг 09:00-22:00,пятница 09:00-22:00,суббота 10:00-22:00,воскресенье 10:00-22:00";"";"нет";"";"нет";"";"нет";"нет";"нет";"нет";"нет";"нет";"нет";"01.12-31.03";"10 5 2";"смешанное освещение";"натуральный лед";"0";"бесплатно";"";"";"общая физическая подготовка";"{""coordinates"":[37.6755833687227,55.7353106901679],""type"":""Point""}";"";"";
"1266752907";"Досуговый центр «Мастер»";"ледяная горка";"d2a8d2ed-910f-47be-9719-451b32373686";"Центральный административный округ";"Таганский район";"Библиотечная улица, дом 6";"ur_tagansky@mos.ru";"tagan.mos.ru";"(495) 911-12-81";"";"понедельник 09:00-20:00,вторник 09:00-20:00,среда 09:00-20:00,четверг 09:00-20:00,пятница 09:00-20:00,суббота 09:00-20:00,воскресенье закрыто";"";"нет";"";"нет";"";"нет";"нет";"нет";"нет";"нет";"нет";"нет";"01.12-31.03";"10 5 2";"смешанное освещение";"натуральный снег";"0";"бесплатно";"";"";"общая физическая подготовка";"{""coordinates"":[37.6728608883558,55.7436724451236],""type"":""Point""}";"";"";
"1266752926";"Открытый ледовый каток «Каток на Чистых прудах»";"ледяная горка, Чистопрудный бульвар д.12";"c8bfbeb2-28b2-4f01-a713-3725589000a1";"Центральный административный округ";"Басманный район";"Чистопрудный бульвар, дом 12, строение 1";"ur-basman@mos.ru";"basman.mos.ru";"(495) 916-94-78";"";"понедельник 10:00-22:00,вторник 10:00-22:00,среда 10:00-22:00,четверг 10:00-22:00,пятница 10:00-22:00,суббота 10:00-22:00,воскресенье закрыто";"";"нет";"";"нет";"";"нет";"да";"да";"нет";"нет";"нет";"нет";"01.12-31.03";"1.5 1.5 1";"смешанное освещение";"натуральный лед";"0";"бесплатно";"";"";"общая физическая подготовка";"{""coordinates"":[37.6448271418614,55.7608802489557],""type"":""Point""}";"";"";
"1266753146";"Дворовая территория";"ледяная горка с деревянным каркасом на дворовой территории";"dacce3f6-6b62-40a1-9bc8-b3ad174e912c";"Восточный административный округ";"район Новокосино";"Городецкая улица, дом 9, корпус 2";"upravanovokosino@mos.ru";"novokosino.mos.ru";"(495) 701-44-65";"";"понедельник 10:00-22:00,вторник 10:00-22:00,среда 10:00-22:00,четверг 10:00-22:00,пятница 10:00-22:00,суббота 10:00-22:00,воскресенье 10:00-22:00";"";"нет";"";"нет";"";"нет";"нет";"нет";"нет";"нет";"нет";"нет";"01.12-31.03";"6 3.8 1.34";"смешанное освещение";"натуральный лед";"0";"бесплатно";"";"";"общая физическая подготовка";"{""coordinates"":[37.8686629543724,55.7403881614016],""type"":""Point""}";"";"";
"1266753156";"Дворовая территория";"ледяная горка с деревянным каркасом на дворовой территории";"8b94bab5-cde1-4586-ba33-3154de11de8b";"Восточный административный округ";"район Новокосино";"Новокосинская улица, дом 28";"upravanovokosino@mos.ru";"novokosino.mos.ru";"(495) 701-44-65";"";"понедельник 10:00-22:00,вторник 10:00-22:00,среда 10:00-22:00,четверг 10:00-22:00,пятница 10:00-22:00,суббота 10:00-22:00,воскресенье 10:00-22:00";"";"нет";"";"нет";"";"нет";"нет";"нет";"нет";"нет";"нет";"нет";"01.12-31.03";"5.1 3.8 1.34";"без дополнительного освещения";"натуральный лед";"0";"бесплатно";"";"";"общая физическая подготовка";"{""coordinates"":[37.8647677903519,55.7417419142417],""type"":""Point""}";"";"";
"1266753157";"Дворовая территория";"ледяная горка с деревянным каркасом на дворовой территории";"adbc8c7f-c18c-453c-b13a-0145321e99c9";"Восточный административный округ";"район Новокосино";"Новокосинская улица, дом 12, корпус 3";"upravanovokosino@mos.ru";"novokosino.mos.ru";"(495) 701-44-65";"";"понедельник 10:00-22:00,вторник 10:00-22:00,среда 10:00-22:00,четверг 10:00-22:00,пятница 10:00-22:00,суббота 10:00-22:00,воскресенье 10:00-22:00";"";"нет";"";"нет";"";"нет";"нет";"нет";"нет";"нет";"нет";"нет";"01.12-31.03";"10 5 2";"без дополнительного освещения";"натуральный лед";"0";"бесплатно";"";"";"общая физическая подготовка";"{""coordinates"":[37.8568455694504,55.7363287329324],""type"":""Point""}";"";"";
"1266753158";"Дворовая территория";"ледяная горка с деревянным каркасом на дворовой территории";"68733a02-0d89-4a63-ae7a-2bd7ac9c8c1c";"Восточный административный округ";"район Новокосино";"Новокосинская улица, дом 12, корпус 6";"upravanovokosino@mos.ru";"novokosino.mos.ru";"(495) 701-44-65";"";"понедельник 10:00-22:00,вторник 10:00-22:00,среда 10:00-22:00,четверг 10:00-22:00,пятница 10:00-22:00,суббота 10:00-22:00,воскресенье 10:00-22:00";"";"нет";"";"нет";"";"нет";"нет";"нет";"нет";"нет";"нет";"нет";"01.12-31.03";"5.1 3.8 1.34";"без дополнительного освещения";"натуральный лед";"0";"бесплатно";"";"";"общая физическая подготовка";"{""coordinates"":[37.8588905564945,55.736138473465],""type"":""Point""}";"";"";
"1266753271";"Дворовая территория";"ледяная горка на дворовой территории";"5694aed8-839e-472b-9a8a-3f4490ae865f";"Юго-Западный административный округ";"район Ясенево";"улица Инессы Арманд, дом 4, корпус 2";"soc.yasenevo@mail.ru";"yasenevo.mos.ru";"(495) 422-02-33";"";"понедельник 08:00-18:00,вторник 08:00-18:00,среда 08:00-18:00,четверг 08:00-18:00,пятница 08:00-18:00,суббота 08:00-18:00,воскресенье 08:00-18:00";"";"нет";"";"нет";"";"нет";"нет";"нет";"нет";"нет";"нет";"нет";"01.12-31.03";"45 15 3";"без дополнительного освещения";"натуральный лед";"0";"бесплатно";"";"";"общая физическая подготовка";"{""coordinates"":[37.5422527384578,55.5929769228574],""type"":""Point""}";"";"";
"1266753425";"Дворовая территория";"ледяная горка искусственная";"fe554dce-c922-4e76-bc74-e1c4452469b3";"Северо-Восточный административный округ";"район Отрадное";"Отрадная улица, дом 18";"otrorg@svao.mos.ru";"otradnoe.mos.ru";"(495) 708-44-69";"";"понедельник 08:00-22:00,вторник 08:00-22:00,среда 08:00-22:00,четверг 08:00-22:00,пятница 08:00-22:00,суббота 08:00-22:00,воскресенье 08:00-22:00";"";"нет";"";"нет";"";"нет";"нет";"нет";"нет";"нет";"нет";"нет";"01.12-31.03";"144 18 8";"без дополнительного освещения";"натуральный лед";"0";"бесплатно";"";"";"общая физическая подготовка";"{""coordinates"":[37.6172170107763,55.8545489407895],""type"":""Point""}";"";"";
"1266753829";"Дворовая территория";"ледяная горка на дворовой территории";"3e8ead48-9ba1-4dc9-8b6d-ce2d6d38db08";"Центральный административный округ";"Пресненский район";"Большая Грузинская улица, дом 20, строение 2";"uprpresn@mos.ru";"presnya.mos.ru";"(499) 259-70-90";"";"понедельник 10:00-20:00,вторник 10:00-20:00,среда 10:00-20:00,четверг 10:00-20:00,пятница 10:00-20:00,суббота 10:00-20:00,воскресенье закрыто";"";"нет";"";"нет";"";"нет";"нет";"нет";"нет";"нет";"нет";"нет";"01.12-31.03";"10 5 2";"освещение газоразрядными лампами";"натуральный лед";"0";"бесплатно";"";"";"общая физическая подготовка";"{""coordinates"":[37.5790700937027,55.7659732376734],""type"":""Point""}";"";"";
"1266753977";"Дворовая территория";"ледяная горка";"7c98b813-4fde-41c5-af94-e012fce3011f";"Зеленоградский административный округ";"район Крюково";"город Зеленоград, корпус 1529";"krukovo@mos.ru";"krukovo.mos.ru";"(499) 717-26-69";"";"понедельник 09:00-22:00,вторник 09:00-22:00,среда 09:00-22:00,четверг 09:00-22:00,пятница 09:00-22:00,суббота 09:00-22:00,воскресенье закрыто";"";"нет";"";"нет";"";"нет";"нет";"нет";"нет";"нет";"нет";"нет";"01.12-31.03";"18 6 3";"освещение газоразрядными лампами";"натуральный лед";"0";"бесплатно";"";"";"общая физическая подготовка";"{""coordinates"":[37.1583403163637,55.9820424019695],""type"":""Point""}";"";"";
"1266754456";"Дворовая территория";"ледяная горка";"6534c889-00e6-4204-bc35-563d2bbe32fc";"Южный административный округ";"район Бирюлёво Восточное";"Лебедянская улица, дом 4";"sovbr@uao.mos.ru";"bv.mos.ru";"(495) 329-63-00";"";"понедельник 08:00-22:00,вторник 08:00-22:00,среда 08:00-22:00,четверг 08:00-22:00,пятница 08:00-22:00,суббота 08:00-22:00,воскресенье закрыто";"";"нет";"";"нет";"";"нет";"нет";"нет";"нет";"нет";"нет";"нет";"01.12-31.03";"20 10 2";"без дополнительного освещения";"натуральный лед";"0";"бесплатно";"";"";"общая физическая подготовка";"{""coordinates"":[37.6615879136197,55.5857832838054],""type"":""Point""}";"";"";
"1266758574";"Дворовая территория";"ледяная горка на дворовой территории";"b1b9ef95-d756-4fcc-af16-7c66ce980d1b";"Восточный административный округ";"район Метрогородок";"Открытое шоссе, дом 28, строение 3";"metro@vao.mos.ru";"metrogorodok.mos.ru";"(499) 167-04-05";"";"понедельник 08:00-22:00,вторник 08:00-22:00,среда 08:00-22:00,четверг 08:00-22:00,пятница 08:00-22:00,суббота 08:00-22:00,воскресенье закрыто";"";"нет";"";"нет";"";"нет";"нет";"нет";"нет";"нет";"нет";"нет";"01.12-31.03";"3 3 1";"без дополнительного освещения";"натуральный лед";"0";"бесплатно";"";"";"общая физическая подготовка";"{""coordinates"":[37.7689132013969,55.8281578571532],""type"":""Point""}";"";"";
"1266759080";"Дворовая территория";"ледяная горка на дворовой территории";"33d36ca4-dd18-4785-bdb0-2c582b4e8d59";"Восточный административный округ";"район Гольяново";"Байкальская улица, дом 23";"info@post.gbugol.ru";"golyanovo.mos.ru/";"(495) 469-82-81";"";"понедельник 07:00-22:00,вторник 07:00-22:00,среда 07:00-22:00,четверг 07:00-22:00,пятница 07:00-22:00,суббота 07:00-22:00,воскресенье закрыто";"";"нет";"";"нет";"";"нет";"нет";"нет";"нет";"нет";"нет";"нет";"01.12-31.03";"4.5 3 1.5";"без дополнительного освещения";"натуральный лед";"0";"бесплатно";"";"";"общая физическая подготовка";"{""coordinates"":[37.8005120562267,55.8180408759951],""type"":""Point""}";"";"";
"1266759166";"Дворовая территория";"ледяная горка на дворовой территории";"581c1b28-a23d-4294-bf15-ff2627a7be26";"Восточный административный округ";"район Гольяново";"Щёлковское шоссе, дом 14";"gol@vao.mos.ru";"golyanovo.mos.ru/";"(495) 469-82-81";"";"понедельник 07:00-22:00,вторник 07:00-22:00,среда 07:00-22:00,четверг 07:00-22:00,пятница 07:00-22:00,суббота 07:00-22:00,воскресенье закрыто";"";"нет";"";"нет";"";"нет";"нет";"нет";"нет";"нет";"нет";"нет";"01.12-31.03";"4.5 3 1.5";"без дополнительного освещения";"натуральный лед";"0";"бесплатно";"";"";"общая физическая подготовка";"{""coordinates"":[37.7643711123495,55.8068283481122],""type"":""Point""}";"";"";
